symbol,date,volume,low,open,high,close,adjclose,dividends,splits
ASIANPAINT.NS,2011-05-04,466290.0,268.0199890136719,281.44000244140625,281.44000244140625,269.80999755859375,248.50457763671875,0.0,0.0
ASIANPAINT.NS,2011-05-05,171100.0,266.0,269.81500244140625,272.0,266.7799987792969,245.7139434814453,0.0,0.0
ASIANPAINT.NS,2011-05-06,925470.0,265.1600036621094,267.510009765625,271.20001220703125,270.0150146484375,248.69346618652344,0.0,0.0
ASIANPAINT.NS,2011-05-09,367520.0,271.70001220703125,272.2449951171875,276.79998779296875,274.29998779296875,252.64010620117188,0.0,0.0
ASIANPAINT.NS,2011-05-10,327500.0,265.6000061035156,272.125,277.989990234375,269.1050109863281,247.85533142089844,0.0,0.0
ASIANPAINT.NS,2011-05-11,2182870.0,263.7099914550781,269.1000061035156,272.5,267.2099914550781,246.1099395751953,0.0,0.0
ASIANPAINT.NS,2011-05-12,1419540.0,267.5,269.0,276.5,275.04998779296875,253.33091735839844,0.0,0.0
ASIANPAINT.NS,2011-05-13,862830.0,274.5,274.5,279.8500061035156,276.8399963378906,254.97950744628906,0.0,0.0
ASIANPAINT.NS,2011-05-16,1346020.0,275.989990234375,277.4949951171875,282.0,279.3500061035156,257.29132080078125,0.0,0.0
ASIANPAINT.NS,2011-05-17,2560160.0,280.20001220703125,280.5,289.2950134277344,284.885009765625,262.3892517089844,0.0,0.0
ASIANPAINT.NS,2011-05-18,1457400.0,283.7449951171875,285.05499267578125,288.79998779296875,286.4549865722656,263.835205078125,0.0,0.0
ASIANPAINT.NS,2011-05-19,538730.0,282.79998779296875,287.8999938964844,288.7950134277344,284.7699890136719,262.28338623046875,0.0,0.0
ASIANPAINT.NS,2011-05-20,963070.0,281.1000061035156,281.6000061035156,292.0199890136719,290.9750061035156,267.9984130859375,0.0,0.0
ASIANPAINT.NS,2011-05-23,1412520.0,289.3999938964844,291.20001220703125,294.8999938964844,291.4150085449219,268.40362548828125,0.0,0.0
ASIANPAINT.NS,2011-05-24,2414310.0,290.3349914550781,293.0,299.20001220703125,296.3450012207031,272.9443359375,0.0,0.0
ASIANPAINT.NS,2011-05-25,3773100.0,295.010009765625,295.010009765625,302.489990234375,300.6499938964844,276.9093933105469,0.0,0.0
ASIANPAINT.NS,2011-05-26,3693410.0,296.25,301.8900146484375,304.5,299.32501220703125,275.68902587890625,0.0,0.0
ASIANPAINT.NS,2011-05-27,1397460.0,295.6000061035156,295.6000061035156,302.0,300.635009765625,276.8956298828125,0.0,0.0
ASIANPAINT.NS,2011-05-30,4304990.0,300.135009765625,300.135009765625,310.8999938964844,308.2250061035156,283.88629150390625,0.0,0.0
ASIANPAINT.NS,2011-05-31,18717210.0,305.0,309.20001220703125,338.70001220703125,313.3399963378906,288.5973205566406,0.0,0.0
ASIANPAINT.NS,2011-06-01,1923490.0,306.1499938964844,314.510009765625,319.3999938964844,316.93499755859375,291.90838623046875,0.0,0.0
ASIANPAINT.NS,2011-06-02,2116970.0,308.70001220703125,315.8999938964844,317.17999267578125,310.5050048828125,285.9861755371094,0.0,0.0
ASIANPAINT.NS,2011-06-03,833550.0,309.9949951171875,310.5050048828125,319.0,316.7799987792969,291.7657165527344,0.0,0.0
ASIANPAINT.NS,2011-06-06,462910.0,314.125,316.0199890136719,318.885009765625,317.0050048828125,291.972900390625,0.0,0.0
ASIANPAINT.NS,2011-06-07,820140.0,315.5,317.010009765625,322.9800109863281,320.614990234375,295.29779052734375,0.0,0.0
ASIANPAINT.NS,2011-06-08,791990.0,313.3349914550781,319.0,323.0,320.42999267578125,295.12744140625,0.0,0.0
ASIANPAINT.NS,2011-06-09,1273370.0,308.6199951171875,319.8999938964844,319.8999938964844,309.5950012207031,287.2547607421875,2.35,0.0
ASIANPAINT.NS,2011-06-10,641430.0,306.04998779296875,310.0,313.5,310.0849914550781,287.70941162109375,0.0,0.0
ASIANPAINT.NS,2011-06-13,1181500.0,305.30999755859375,309.69500732421875,311.8999938964844,306.5150146484375,284.3970031738281,0.0,0.0
ASIANPAINT.NS,2011-06-14,642460.0,305.5,309.69500732421875,309.69500732421875,306.8949890136719,284.7495422363281,0.0,0.0
ASIANPAINT.NS,2011-06-15,561910.0,306.0,307.8949890136719,308.9849853515625,306.4599914550781,284.345947265625,0.0,0.0
ASIANPAINT.NS,2011-06-16,1250440.0,301.5,305.3949890136719,306.20001220703125,301.92498779296875,280.13818359375,0.0,0.0
ASIANPAINT.NS,2011-06-17,432330.0,299.3999938964844,302.614990234375,304.0,300.2799987792969,278.6119384765625,0.0,0.0
ASIANPAINT.NS,2011-06-20,572400.0,290.5,300.5050048828125,301.385009765625,294.75,273.48095703125,0.0,0.0
ASIANPAINT.NS,2011-06-21,342000.0,292.70001220703125,295.0150146484375,297.989990234375,295.1449890136719,273.847412109375,0.0,0.0
ASIANPAINT.NS,2011-06-22,326890.0,291.70001220703125,298.8999938964844,298.8999938964844,293.239990234375,272.07989501953125,0.0,0.0
